Genes,Result
ENSMUSG00000023067,51
ENSMUSG00000024427,51
ENSMUSG00000053024,52
ENSMUSG00000026479,52
ENSMUSG00000026655,52
ENSMUSG00000040093,52
ENSMUSG00000106734,52
ENSMUSG00000097815,52
ENSMUSG00000040102,52
ENSMUSG00000030483,52
ENSMUSG00000037640,52
ENSMUSG00000034958,52
ENSMUSG00000021750,52
ENSMUSG00000020467,52
ENSMUSG00000075389,52
ENSMUSG00000001542,52
ENSMUSG00000041773,52
ENSMUSG00000044548,52
ENSMUSG00000021057,52
ENSMUSG00000046157,52
ENSMUSG00000043015,53
ENSMUSG00000101599,53
ENSMUSG00000052137,53
ENSMUSG00000042677,53
ENSMUSG00000072647,53
ENSMUSG00000058402,53
ENSMUSG00000091474,53
ENSMUSG00000015312,53
ENSMUSG00000061393,53
ENSMUSG00000020474,53
ENSMUSG00000043999,53
ENSMUSG00000052563,53
ENSMUSG00000078851,53
ENSMUSG00000020914,53
ENSMUSG00000035711,53
ENSMUSG00000044712,53
ENSMUSG00000055240,53
ENSMUSG00000025930,54
ENSMUSG00000054074,54
ENSMUSG00000032715,54
ENSMUSG00000029380,54
ENSMUSG00000036898,54
ENSMUSG00000047603,54
ENSMUSG00000070423,54
ENSMUSG00000059772,54
ENSMUSG00000045757,54
ENSMUSG00000034881,54
ENSMUSG00000052446,54
ENSMUSG00000044367,54
ENSMUSG00000000567,54
ENSMUSG00000053113,54
ENSMUSG00000025577,54
ENSMUSG00000074874,54
ENSMUSG00000051439,54
ENSMUSG00000074896,54
ENSMUSG00000074577,55
ENSMUSG00000041020,55
ENSMUSG00000028873,55
ENSMUSG00000100813,55
ENSMUSG00000085771,55
ENSMUSG00000079165,55
ENSMUSG00000108037,55
ENSMUSG00000086533,55
ENSMUSG00000030867,55
ENSMUSG00000110647,55
ENSMUSG00000079038,55
ENSMUSG00000097946,55
ENSMUSG00000085178,55
ENSMUSG00000059395,55
ENSMUSG00000033762,55
ENSMUSG00000047394,55
ENSMUSG00000005986,55
ENSMUSG00000084946,56
ENSMUSG00000027360,56
ENSMUSG00000082746,56
ENSMUSG00000037108,56
ENSMUSG00000107792,56
ENSMUSG00000030929,56
ENSMUSG00000044139,56
ENSMUSG00000037725,56
ENSMUSG00000036151,56
ENSMUSG00000079396,56
ENSMUSG00000093979,56
ENSMUSG00000097601,56
ENSMUSG00000020897,56
ENSMUSG00000020808,56
ENSMUSG00000075588,56
ENSMUSG00000021485,56
ENSMUSG00000067389,56
ENSMUSG00000103839,57
ENSMUSG00000103976,57
ENSMUSG00000103867,57
ENSMUSG00000081487,57
ENSMUSG00000095562,57
ENSMUSG00000106528,57
